State,School district,LEAID,"Total number of grade 8 students",Number of grade 8 students enrolled in Algebra I,Percentage of grade 8 students enrolled in Algebra I 
CA,CLAREMONT UNIFIED,0608760,525,51,9.714285714
CA,CLAY JOINT ELEMENTARY,0608850,25,0,0
CA,CLEAR CREEK ELEMENTARY,0608880,14,14,100
CA,CLOVERDALE UNIFIED SCHOOL DISTRICT,0608970,99,0,0
CA,CLOVIS UNIFIED,0609030,3286,572,17.40718198
CA,COACHELLA VALLEY UNIFIED,0609070,1468,278,18.9373297
CA,COALINGA-HURON UNIFIED,0609120,315,0,0
CA,COLFAX ELEMENTARY,0609300,37,0,0
CA,COLLEGE ELEMENTARY,0609330,51,0,0
CA,COLTON JOINT UNIFIED,0609390,1878,264,14.05750799
CA,COLUMBIA ELEMENTARY,0609450,97,0,0
CA,COLUMBIA UNION,0609480,53,0,0
CA,COLUSA UNIFIED,0609570,120,0,0
CA,COMPTON UNIFIED,0609620,1699,214,12.5956445
CA,CONEJO VALLEY UNIFIED,0609640,1496,752,50.26737968
CA,LEGGETT VALLEY UNIFIED,0609665,11,0,0
CA,CORCORAN JOINT UNIFIED,0609690,229,0,0
CA,CORNING UNION ELEMENTARY,0609780,231,0,0
CA,CORONA-NORCO UNIFIED,0609850,4091,548,13.39525788
CA,CORONADO UNIFIED,0609870,262,71,27.09923664
CA,COTATI-ROHNERT PARK UNIFIED,0609940,493,82,16.63286004
CA,COTTONWOOD UNION ELEMENTARY,0609990,119,0,0
CA,COVINA-VALLEY UNIFIED SCHOOL DISTRICT,0610050,861,163,18.93147503
CA,CUDDEBACK UNION ELEMENTARY,0610230,13,0,0
CA,CULVER CITY UNIFIED,0610260,470,141,30
CA,CUPERTINO UNION,0610290,2118,859,40.55712937
CA,CURTIS CREEK SCHOOL DISTRICT,0610320,58,0,0
CA,CUTLER-OROSI JOINT UNIFIED,0610350,313,0,0
CA,DAVIS JOINT UNIFIED,0610620,693,350,50.50505051
CA,DEATH VALLEY UNIFIED,0610680,2,0,0
CA,DEHESA ELEMENTARY,0610710,156,41,26.28205128
CA,DEL NORTE COUNTY UNIFIED,0610770,260,0,0
CA,DELANO UNION ELEMENTARY,0610890,805,224,27.82608696
CA,DENAIR UNIFIED,0611040,88,0,0
CA,DESERT CENTER UNIFIED,0611100,3,0,0
CA,DESERT SANDS UNIFIED,0611110,2232,0,0
CA,DI GIORGIO ELEMENTARY,0611130,24,0,0
CA,DIXIE ELEMENTARY,0611220,227,44,19.38325991
CA,DIXON MONTESSORI CHARTER,0611280,294,0,0
CA,DOUGLAS CITY ELEMENTARY,0611430,17,0,0
CA,DOWNEY UNIFIED,0611460,1857,8,0.430802369
CA,DRY CREEK JOINT ELEMENTARY,0611490,857,0,0
CA,OPPORTUNITIES FOR LEARNING Ð DUARTE,0611520,263,4,1.520912548
CA,DUCOR UNION ELEMENTARY,0611550,17,0,0
CA,DUNSMUIR ELEMENTARY,0611670,11,0,0
CA,DURHAM UNIFIED,0611730,93,0,0
CA,EARLIMART ELEMENTARY,0611760,204,0,0
CA,ESCUELA POPULAR ACCELERATED FAMILY LRN,0611820,14,0,0
CA,EAST WHITTIER CITY ELEMENTARY,0611850,982,223,22.70875764
CA,EASTERN SIERRA UNIFIED,0611870,20,2,10
CA,EASTSIDE UNION ELEMENTARY,0611910,328,0,0
CA,EDISON ELEMENTARY,0611940,124,29,23.38709677
CA,EL CENTRO ELEMENTARY,0612030,672,28,4.166666667
CA,EL MONTE CITY,0612090,1030,697,67.66990291
CA,EL NIDO ELEMENTARY,0612150,17,4,23.52941176
CA,EL RANCHO UNIFIED,0612180,676,555,82.10059172
CA,EL SEGUNDO UNIFIED,0612210,262,68,25.95419847
CA,ELK GROVE UNIFIED,0612330,4960,688,13.87096774
CA,ELKINS ELEMENTARY,0612420,2,0,0
CA,ELVERTA JOINT ELEMENTARY,0612600,49,0,0
CA,EMERY UNIFIED,0612630,51,0,0
CA,EMPIRE UNION ELEMENTARY,0612690,276,213,77.17391304
CA,ENTERPRISE ELEMENTARY,0612810,357,0,0
CA,ESCALON UNIFIED,0612840,218,0,0
CA,ESCONDIDO UNION,0612880,2027,69,3.404045387
CA,ESPARTO UNIFIED,0612930,93,77,82.79569892
CA,ETIWANDA ELEMENTARY,0612960,1663,0,0
CA,EUREKA UNION,0613080,420,0,0
CA,EVERGREEN ELEMENTARY,0613140,1484,0,0
CA,EVERGREEN UNION,0613170,1,0,0
CA,FAIRFAX ELEMENTARY,0613290,250,0,0
CA,FAIRFIELD-SUISUN UNIFIED,0613360,1623,42,2.58780037
CA,FALL RIVER JOINT UNIFIED,0613470,92,0,0
CA,FALLBROOK UNION ELEMENTARY,0613500,436,244,55.96330275
CA,FIELDBROOK ELEMENTARY,0613740,11,0,0
CA,FILLMORE UNIFIED,0613800,276,0,0
CA,FIREBAUGH-LAS DELTAS UNIFIED,0613840,166,0,0
CA,FOLSOM-CORDOVA UNIFIED,0613890,1518,419,27.60210804
CA,FONTANA UNIFIED,0613920,2782,390,14.01869159
CA,FORESTHILL UNION ELEMENTARY,0613980,45,0,0
CA,FORKS OF SALMON ELEMENTARY,0614040,1,0,0
CA,FORT BRAGG UNIFIED,0614070,162,47,29.01234568
CA,FORT ROSS ELEMENTARY,0614130,1,0,0
CA,FOUNTAIN VALLEY ELEMENTARY,0614220,822,135,16.42335766
CA,FOWLER UNIFIED,0614250,187,0,0
CA,FRANKLIN ELEMENTARY,0614340,57,0,0
CA,ACE FRANKLIN MCKINLEY,0614370,1062,466,43.87947269
CA,FREMONT UNIFIED,0614400,2551,678,26.57781262
CA,FRESHWATER ELEMENTARY,0614520,24,0,0
CA,FRESNO UNIFIED SCHOOL DISTRICT,0614550,5180,1082,20.88803089
CA,FRUITVALE ELEMENTARY,0614700,351,34,9.686609687
CA,FULLERTON ELEMENTARY,0614730,1489,361,24.24445937
CA,GALT JOINT UNION ELEMENTARY,0614790,406,0,0
CA,GARDEN GROVE UNIFIED SCHOOL DISTRICT,0614880,3507,760,21.67094383
CA,GARVEY ELEMENTARY,0614940,215,200,93.02325581
CA,GATEWAY UNIFIED,0614950,268,45,16.79104478
CA,GAZELLE UNION ELEMENTARY,0614970,8,0,0
CA,GENERAL SHAFTER ELEMENTARY,0615000,15,0,0
CA,GERBER UNION ELEMENTARY,0615090,41,0,0
CA,GEYSERVILLE UNIFIED,0615150,11,0,0
CA,GILROY UNIFIED,0615180,851,0,0
CA,GLENDALE UNIFIED,0615240,1935,491,25.374677
CA,GLENDORA UNIFIED,0615270,595,202,33.94957983
CA,GOLD OAK UNION ELEMENTARY,0615390,52,24,46.15384615
CA,GOLD TRAIL UNION ELEMENTARY,0615450,54,20,37.03703704
CA,PIVOT CHARTER SCHOOL NORTH VALLEY,0615480,5,0,0
CA,GORMAN JOINT SCHOOL DISTRICT,0615600,182,24,13.18681319
CA,GRANT ELEMENTARY,0615690,61,0,0
CA,GRASS VALLEY ELEMENTARY,0615780,171,93,54.38596491
CA,GRATTON ELEMENTARY,0615810,16,0,0
CA,GRAVENSTEIN UNION ELEMENTARY,0615840,84,77,91.66666667
CA,GRAVES ELEMENTARY,0615870,1,0,0
CA,GREEN POINT ELEMENTARY,0615990,1,0,0
CA,GREENFIELD UNION,0616050,973,0,0
CA,GREENFIELD UNION ELEMENTARY,0616080,343,0,0
CA,GRENADA ELEMENTARY,0616110,20,0,0
CA,GUADALUPE UNION ELEMENTARY,0616260,123,0,0
CA,CUCAMONGA ELEMENTARY,0616300,255,0,0
CA,GUERNEVILLE ELEMENTARY,0616320,31,0,0
CA,GUSTINE UNIFIED,0616323,153,0,0
CA,HACIENDA LA PUENTE UNIFIED,0616325,1462,64,4.377564979
CA,HANFORD ELEMENTARY,0616470,611,0,0
CA,HAPPY CAMP UNION ELEMENTARY,0616530,12,0,0
CA,HAPPY VALLEY UNION ELEMENTARY,0616570,69,0,0
CA,PATHWAYS CHARTER SCHOOL,0616620,44,0,0
CA,HART-RANSOM UNION ELEMENTARY,0616650,120,0,0
